Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,119544903,,,,119544903,,618664571,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,29134041,,,,29134041,,132388393,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,8,Albania,ALB,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,9600,,,,9600,,47160,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,12,Algeria,DZA,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,100000,,,,100000,,198250,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,727394,,,,727394,,2797292,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,9000,,,,9000,,89420,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,56,,,,56,,224,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,50,Bangladesh,BGD,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,154902,,,,154902,,452997,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,50,Bangladesh,BGD,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,12600,,,,12600,,22050,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,72235,,,,72235,,284636,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,3255298,,,,3255298,,11238067,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,15345855,,,,15345855,,99634276,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,165107,,,,165107,,832425,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,90,Solomon Isds,SLB,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,23940,,,,23940,,203011,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,100,Bulgaria,BGR,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,81523,,,,81523,,598979,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,104,Myanmar,MMR,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,174982,,,,174982,,575409,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,112,Belarus,BLR,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,53460,,,,53460,,73240,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,116,Cambodia,KHM,,,,,,,,2401,"Tobacco, unmanufactured; tobacco refuse",8,Weight in kilograms,69813,,,,69813,,166627,,,0
