Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,3811607,,,,3811607,,20489468,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,87773,,,,87773,,911277,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,20,,,,20,,311,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,20000,,,,20000,,18000,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,231981,,,,231981,,1765827,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,1854478,,,,1854478,,2433446,,,0
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,3090116,,,,3090116,,18941751,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,0,,,,0,,2,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,8722,,,,8722,,17872,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,166360,,,,166360,,176913,,,0
