Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,24,,,,24,,1901,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,39582,,,,39582,,219660,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,59007,,,,59007,,674136,,,0
H5,2017,2017,2017,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,5536,,,,5536,,283675,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,880935,,,,880935,,8501206,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,80,,,,80,,3807,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,14664,,,,14664,,192560,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,5126,,,,5126,,81200,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,12479,,,,12479,,583762,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,684307,,,,684307,,7447154,,,0
H5,2019,2019,2019,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,37,,,,37,,2072,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,17667,,,,17667,,257050,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,338,,,,338,,20456,,,0
H5,2019,2019,2019,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,7870,,,,7870,,414787,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,740768,,,,740768,,8427497,,,0
H5,2020,2020,2020,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,35,,,,35,,1802,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,17466,,,,17466,,255605,,,0
H5,2020,2020,2020,4,0,1,Import,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,4,,,,4,,145,,,0
H5,2020,2020,2020,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,646,,,,646,,29347,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,568614,,,,568614,,7947053,,,0
H4,2012,2012,2012,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,11,,,,11,,704,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,10413,,,,10413,,153700,,,0
H4,2012,2012,2012,4,0,1,Import,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,2,,,,2,,41,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,328121,,,,328121,,4927035,,,0
H4,2012,2012,2012,4,0,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,3,,,,3,,90,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,673285,,,,673285,,9063266,,,0
H4,2013,2013,2013,4,0,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,5,,,,5,,180,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,5880,,,,5880,,75000,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,682,Saudi Arabia,SAU,,,,,,,,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",8,Weight in kilograms,381558,,,,381558,,4751301,,,0
